,,,,,,,,,,,,,,,,
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,5.686,4.658,998,0,0,0,2,10,5,13,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,31.420,25.814,1.357,291,3.713,4,10,130,3,88,10
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,5.962,5.880,51,2,0,0,0,10,0,18,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,14.249,13.806,160,0,190,1,30,28,0,32,2
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,3.718,3.594,100,0,0,0,1,8,0,15,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,7.111,6.982,81,1,1,0,5,21,0,15,5
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,5.132,5.030,62,2,0,0,0,23,0,13,2
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,5.158,5.034,103,2,0,0,1,6,1,11,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,3.758,3.670,28,1,8,0,6,29,0,16,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,2.567,2.337,91,0,0,0,2,5,4,128,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,16.452,14.883,119,80,1.287,1,5,34,2,32,9
7,Maule,71,Talca,7101,Talca,95.397,77.694,2.985,4.564,9.894,8,23,57,1,110,61
7,Maule,71,Talca,7102,Constitución,23.408,16.856,719,19,5.619,3,11,112,1,60,8
7,Maule,71,Talca,7103,Curepto,5.199,5.063,53,3,2,0,1,31,0,43,3
7,Maule,71,Talca,7104,Empedrado,1.892,1.872,8,0,0,0,1,3,0,7,1
7,Maule,71,Talca,7105,Maule,23.296,22.456,760,5,0,1,3,26,1,36,8
7,Maule,71,Talca,7106,Pelarco,4.073,3.637,395,2,0,0,4,13,0,22,0
7,Maule,71,Talca,7107,Pencahue,4.682,4.642,15,0,1,0,0,4,1,17,2
7,Maule,71,Talca,7108,Río Claro,6.279,6.019,199,3,0,1,4,22,0,29,2
7,Maule,71,Talca,7109,San Clemente,22.312,21.217,708,3,2,0,9,41,2,322,8
7,Maule,71,Talca,7110,San Rafael,4.788,4.462,271,0,3,0,2,17,1,30,2
7,Maule,72,Cauquenes,7201,Cauquenes,20.238,19.538,350,5,251,1,2,27,1,53,10
7,Maule,72,Cauquenes,7202,Chanco,4.442,4.257,37,1,0,1,1,8,0,136,1
7,Maule,72,Cauquenes,7203,Pelluhue,7.743,7.490,189,1,0,1,1,24,2,31,4
7,Maule,73,Curicó,7301,Curicó,62.225,56.437,1.875,738,2.812,4,35,129,5,158,32
7,Maule,73,Curicó,7302,Hualañé,5.199,5.121,25,0,14,0,2,22,1,11,3
7,Maule,73,Curicó,7303,Licantén,4.500,4.318,75,2,0,0,1,78,0,24,2
7,Maule,73,Curicó,7304,Molina,18.980,18.692,121,5,1,4,4,28,3,108,14
7,Maule,73,Curicó,7305,Rauco,4.784,4.406,338,1,0,0,1,21,1,15,1
7,Maule,73,Curicó,7306,Romeral,7.233,6.757,310,2,1,0,8,17,1,134,3
7,Maule,73,Curicó,7307,Sagrada Familia,7.533,7.318,114,0,2,0,5,67,0,22,5
7,Maule,73,Curicó,7308,Teno,12.501,12.145,258,0,1,2,4,40,3,46,2
7,Maule,73,Curicó,7309,Vichuquén,4.422,4.132,255,0,1,0,3,12,0,17,2
7,Maule,74,Linares,7401,Linares,41.380,38.129,1.708,133,1.003,3,51,74,6,247,26
7,Maule,74,Linares,7402,Colbún,10.583,10.004,509,2,1,0,5,27,0,31,4
7,Maule,74,Linares,7403,Longaví,14.133,13.875,170,2,5,1,2,35,0,41,2
7,Maule,74,Linares,7404,Parral,20.794,19.540,767,2,345,3,9,45,3,67,13
7,Maule,74,Linares,7405,Retiro,10.149,9.875,210,4,1,0,3,27,1,27,1
7,Maule,74,Linares,7406,San Javier,22.233,21.572,285,11,186,5,13,32,3,119,7
7,Maule,74,Linares,7407,Villa Alegre,8.164,8.006,117,2,0,1,2,16,0,20,0
7,Maule,74,Linares,7408,Yerbas Buenas,8.088,7.945,96,0,2,0,2,15,1,25,2
16,Ñuble,161,Diguillín,16101,Chillán,81.042,69.092,3.386,2.607,5.484,5,87,96,10,217,58
16,Ñuble,161,Diguillín,16102,Bulnes,10.531,9.759,415,80,140,0,3,85,2,43,4
16,Ñuble,161,Diguillín,16103,Chillán Viejo,13.027,11.932,388,5,611,0,0,39,10,32,10
16,Ñuble,161,Diguillín,16104,El Carmen,6.212,6.139,46,0,1,0,1,9,0,10,6
16,Ñuble,161,Diguillín,16105,Pemuco,4.204,3.889,142,0,0,0,0,17,1,153,2
16,Ñuble,161,Diguillín,16106,Pinto,7.664,6.844,774,10,4,1,4,5,0,13,9
16,Ñuble,161,Diguillín,16107,Quillón,13.489,12.332,1.073,2,0,0,3,38,1,34,6
16,Ñuble,161,Diguillín,16108,San Ignacio,7.990,7.802,149,2,0,0,3,20,1,12,1
16,Ñuble,161,Diguillín,16109,Yungay,10.342,10.112,154,3,8,2,4,21,0,31,7
16,Ñuble,162,Itata,16201,Quirihue,5.628,5.375,106,31,14,0,3,47,2,44,6
16,Ñuble,162,Itata,16202,Cobquecura,3.897,3.778,82,0,0,1,1,6,3,20,6
16,Ñuble,162,Itata,16203,Coelemu,7.087,6.908,127,0,2,1,3,19,0,25,2
16,Ñuble,162,Itata,16204,Ninhue,2.908,2.865,29,0,1,0,2,2,0,8,1
16,Ñuble,162,Itata,16205,Portezuelo,2.700,2.611,33,8,0,0,0,18,0,28,2
16,Ñuble,162,Itata,16206,Ránquil,3.563,3.220,294,0,0,0,2,9,1,34,3
16,Ñuble,162,Itata,16207,Trehuaco,3.053,3.014,13,1,0,0,0,12,0,13,0
16,Ñuble,163,Punilla,16301,San Carlos,23.905,21.945,1.041,28,394,2,3,37,13,431,11
16,Ñuble,163,Punilla,16302,Coihueco,12.130,11.519,281,1,6,0,1,25,0,296,1
16,Ñuble,163,Punilla,16303,Ñiquén,6.008,5.518,444,0,5,0,0,11,3,26,1
16,Ñuble,163,Punilla,16304,San Fabián,3.137,2.975,104,1,1,0,0,37,1,17,1
16,Ñuble,163,Punilla,16305,San Nicolás,6.328,6.132,140,1,4,4,3,11,2,29,2
8,Biobío,81,Concepción,8101,Concepción,101.209,45.177,8.993,29.105,16.505,18,642,206,8,484,71
8,Biobío,81,Concepción,8102,Coronel,45.743,41.976,1.202,31,2.281,8,10,143,2,74,16
8,Biobío,81,Concepción,8103,Chiguayante,30.666,21.283,3.364,1.456,4.406,5,10,18,0,107,17
8,Biobío,81,Concepción,8104,Florida,6.748,5.629,933,4,7,2,2,34,4,129,4
8,Biobío,81,Concepción,8105,Hualqui,10.881,10.429,315,0,4,0,2,39,3,80,9
8,Biobío,81,Concepción,8106,Lota,15.968,14.563,81,6,1.116,2,7,125,4,60,4
8,Biobío,81,Concepción,8107,Penco,17.566,14.143,355,46,2.712,2,13,30,0,257,8
8,Biobío,81,Concepción,8108,San Pedro de La paz,56.862,36.132,8.336,5.220,6.800,1,14,231,3,106,19
8,Biobío,81,Concepción,8109,Santa Juana,7.532,7.298,118,0,2,0,2,47,5,59,1
8,Biobío,81,Concepción,8110,Talcahuano,53.813,42.156,3.535,1.605,5.680,7,86,500,2,212,30
8,Biobío,81,Concepción,8111,Tomé,25.105,21.567,878,847,1.610,5,27,88,2,72,9
8,Biobío,81,Concepción,8112,Hualpén,32.286,24.104,885,1.462,5.710,3,13,9,3,81,16
8,Biobío,82,Arauco,8201,Lebu,10.238,9.990,40,0,30,0,0,78,0,91,9
8,Biobío,82,Arauco,8202,Arauco,15.168,14.932,140,3,3,2,3,37,2,41,5
8,Biobío,82,Arauco,8203,Cañete,14.503,13.903,398,0,16,11,11,58,1,99,6
8,Biobío,82,Arauco,8204,Contulmo,2.992,2.658,89,0,0,2,1,6,0,234,2
8,Biobío,82,Arauco,8205,Curanilahue,13.203,12.332,428,1,94,0,4,170,0,168,6
8,Biobío,82,Arauco,8206,Los Álamos,9.311,9.105,104,0,0,1,2,52,1,40,6
8,Biobío,82,Arauco,8207,Tirúa,4.896,4.330,489,0,0,3,1,26,0,45,2
8,Biobío,83,Biobío,8301,Los Ángeles,93.053,78.282,6.452,2.586,5.049,10,101,87,7,442,37
8,Biobío,83,Biobío,8302,Antuco,2.672,2.487,66,0,0,0,2,3,1,112,1
8,Biobío,83,Biobío,8303,Cabrero,13.270,12.589,502,1,74,4,5,21,0,72,2
8,Biobío,83,Biobío,8304,Laja,10.091,9.626,312,1,13,2,3,23,0,108,3
8,Biobío,83,Biobío,8305,Mulchén,11.593,11.452,67,0,5,0,2,13,0,48,6
8,Biobío,83,Biobío,8306,Nacimiento,11.089,10.703,183,7,4,1,1,31,0,156,3
8,Biobío,83,Biobío,8307,Negrete,4.421,4.300,54,0,1,1,1,48,2,14,0
8,Biobío,83,Biobío,8308,Quilaco,2.452,2.113,284,0,0,1,1,11,1,37,4
8,Biobío,83,Biobío,8309,Quilleco,4.502,4.341,86,0,0,1,0,16,0,56,2
8,Biobío,83,Biobío,8310,San Rosendo,1.867,1.832,7,0,0,0,1,17,0,9,1
8,Biobío,83,Biobío,8311,Santa Bárbara,6.395,6.117,211,0,1,7,3,5,0,48,3
8,Biobío,83,Biobío,8312,Tucapel,7.795,7.518,224,1,0,1,2,18,0,25,6
8,Biobío,83,Biobío,8313,Yumbel,14.112,13.410,481,1,64,0,2,42,3,105,4
8,Biobío,83,Biobío,8314,Alto Biobío,2.776,2.355,23,1,1,73,8,153,5,156,1
9,La Araucanía,91,Cautín,9101,Temuco,129.071,96.393,4.885,14.876,11.452,38,218,484,7,642,76
9,La Araucanía,91,Cautín,9102,Carahue,11.657,11.313,132,0,53,3,9,98,2,43,4
9,La Araucanía,91,Cautín,9103,Cunco,10.541,9.085,1.206,4,0,4,1,16,1,216,8
9,La Araucanía,91,Cautín,9104,Curarrehue,4.432,4.234,165,1,0,5,0,8,1,17,1
9,La Araucanía,91,Cautín,9105,Freire,12.597,11.933,542,2,3,8,8,63,0,35,3
9,La Araucanía,91,Cautín,9106,Galvarino,5.476,5.414,12,1,0,3,3,16,0,26,1
9,La Araucanía,91,Cautín,9107,Gorbea,6.702,6.413,250,0,1,0,4,13,1,16,4
9,La Araucanía,91,Cautín,9108,Lautaro,18.221,17.472,483,15,172,2,3,13,7,46,8
9,La Araucanía,91,Cautín,9109,Loncoche,12.376,11.968,258,1,12,3,8,28,0,92,6
9,La Araucanía,91,Cautín,9110,Melipeuco,3.614,3.494,61,0,0,1,2,7,2,39,8
9,La Araucanía,91,Cautín,9111,Nueva Imperial,14.842,14.401,168,1,3,15,5,42,0,199,8
9,La Araucanía,91,Cautín,9112,Padre Las Casas,32.154,29.025,838,9,2.084,31,13,46,3,97,8
9,La Araucanía,91,Cautín,9113,Perquenco,3.345,3.210,92,0,0,3,0,7,0,33,0
9,La Araucanía,91,Cautín,9114,Pitrufquén,13.102,12.789,217,0,5,2,3,32,2,44,8
9,La Araucanía,91,Cautín,9115,Pucón,28.770,18.943,5.254,2.515,1.876,4,32,14,6,112,14
9,La Araucanía,91,Cautín,9116,Saavedra,6.757,6.561,56,0,0,7,5,43,1,80,4
9,La Araucanía,91,Cautín,9117,Teodoro Schmidt,8.008,7.828,116,2,1,6,2,16,0,34,3
9,La Araucanía,91,Cautín,9118,Toltén,4.954,4.812,85,0,0,1,5,42,1,5,3
9,La Araucanía,91,Cautín,9119,Vilcún,13.928,13.658,189,2,0,2,5,17,1,46,8
9,La Araucanía,91,Cautín,9120,Villarrica,43.229,34.751,4.862,1.537,1.778,6,21,63,7,188,16
9,La Araucanía,91,Cautín,9121,Cholchol,5.271,5.156,74,0,0,4,1,18,0,15,3
9,La Araucanía,92,Malleco,9201,Angol,22.100,19.970,1.054,34,714,3,46,46,1,217,15
9,La Araucanía,92,Malleco,9202,Collipulli,10.460,9.894,439,4,1,5,2,21,9,79,6
9,La Araucanía,92,Malleco,9203,Curacautín,9.923,9.536,315,1,4,2,2,9,1,46,7
9,La Araucanía,92,Malleco,9204,Ercilla,3.784,3.703,3,1,0,0,0,57,1,17,2
9,La Araucanía,92,Malleco,9205,Lonquimay,5.662,5.439,46,0,1,17,4,85,0,59,11
9,La Araucanía,92,Malleco,9206,Los Sauces,3.373,3.161,108,0,0,1,0,10,0,89,4
9,La Araucanía,92,Malleco,9207,Lumaco,4.217,4.149,22,0,0,4,2,16,0,21,3
9,La Araucanía,92,Malleco,9208,Purén,5.300,5.128,132,2,0,1,1,17,0,17,2
9,La Araucanía,92,Malleco,9209,Renaico,4.519,4.411,72,3,0,0,1,6,0,23,3
9,La Araucanía,92,Malleco,9210,Traiguén,8.384,8.165,128,1,9,1,3,26,1,37,13
9,La Araucanía,92,Malleco,9211,Victoria,14.459,13.823,279,64,44,3,4,16,1,215,10
14,Los Ríos,141,Valdivia,14101,Valdivia,72.877,58.975,6.481,2.471,4.209,7,64,167,8,428,67
14,Los Ríos,141,Valdivia,14102,Corral,3.360,3.270,36,0,0,0,1,8,0,43,2
14,Los Ríos,141,Valdivia,14103,Lanco,7.784,7.531,197,3,2,5,2,11,2,28,3
14,Los Ríos,141,Valdivia,14104,Los Lagos,9.573,8.665,829,2,5,1,7,20,0,43,1
14,Los Ríos,141,Valdivia,14105,Máfil,3.441,3.366,50,0,0,1,0,4,0,15,5
14,Los Ríos,141,Valdivia,14106,Mariquina,10.274,9.828,148,0,32,14,3,11,1,230,7
14,Los Ríos,141,Valdivia,14107,Paillaco,8.443,8.266,128,1,2,0,4,13,1,22,6
14,Los Ríos,141,Valdivia,14108,Panguipulli,20.022,18.135,1.488,5,5,22,8,49,3,298,9
14,Los Ríos,142,Ranco,14201,La Unión,17.156,16.485,258,16,227,5,10,37,5,101,12
14,Los Ríos,142,Ranco,14202,Futrono,7.932,7.290,556,1,23,3,1,12,1,43,2
14,Los Ríos,142,Ranco,14203,Lago Ranco,6.248,5.915,209,1,0,2,2,31,0,88,0
14,Los Ríos,142,Ranco,14204,Río Bueno,16.369,15.396,555,27,199,3,14,40,1,127,7
10,Los Lagos,101,Llanquihue,10101,Puerto Montt,116.072,99.900,4.853,2.754,7.469,10,207,222,11,577,69
10,Los Lagos,101,Llanquihue,10102,Calbuco,15.942,14.992,483,5,66,3,15,20,1,350,7
10,Los Lagos,101,Llanquihue,10103,Cochamó,3.063,2.802,152,3,0,0,3,2,0,97,4
10,Los Lagos,101,Llanquihue,10104,Fresia,6.288,5.384,312,1,0,2,0,7,1,578,3
10,Los Lagos,101,Llanquihue,10105,Frutillar,10.304,9.323,730,83,20,2,2,66,1,72,5
10,Los Lagos,101,Llanquihue,10106,Los Muermos,8.697,8.357,95,2,8,0,3,38,0,193,1
10,Los Lagos,101,Llanquihue,10107,Llanquihue,6.960,6.084,731,56,7,0,4,3,0,72,3
10,Los Lagos,101,Llanquihue,10108,Maullín,7.559,7.016,461,1,2,0,0,12,1,61,5
10,Los Lagos,101,Llanquihue,10109,Puerto Varas,25.207,18.361,4.044,2.159,237,3,26,32,3,325,17
10,Los Lagos,102,Chiloé,10201,Castro,21.192,19.786,937,22,217,1,20,19,2,168,20
10,Los Lagos,102,Chiloé,10202,Ancud,19.862,19.298,376,4,56,0,3,18,2,85,20
10,Los Lagos,102,Chiloé,10203,Chonchi,8.288,7.775,381,0,5,1,3,11,0,110,2
10,Los Lagos,102,Chiloé,10204,Curaco de Vélez,1.915,1.810,72,0,0,0,2,0,0,31,0
10,Los Lagos,102,Chiloé,10205,Dalcahue,7.223,6.917,247,1,0,0,2,6,0,49,1
10,Los Lagos,102,Chiloé,10206,Puqueldón,2.093,2.027,59,1,0,0,0,1,0,3,2
10,Los Lagos,102,Chiloé,10207,Queilén,3.142,3.091,33,0,0,0,1,4,0,10,3
10,Los Lagos,102,Chiloé,10208,Quellón,13.474,12.552,490,2,14,2,4,82,0,324,4
10,Los Lagos,102,Chiloé,10209,Quemchi,4.652,4.475,35,0,10,1,1,29,0,99,2
10,Los Lagos,102,Chiloé,10210,Quinchao,4.153,3.760,27,0,0,0,0,15,0,346,5
10,Los Lagos,103,Osorno,10301,Osorno,68.763,56.936,3.024,2.546,5.030,7,275,418,17,472,38
10,Los Lagos,103,Osorno,10302,Puerto Octay,5.294,4.996,234,1,1,2,0,10,1,44,5
10,Los Lagos,103,Osorno,10303,Purranque,8.707,8.095,504,0,66,0,6,8,1,24,3
10,Los Lagos,103,Osorno,10304,Puyehue,5.986,5.298,639,1,0,3,1,12,1,27,4
10,Los Lagos,103,Osorno,10305,Río Negro,6.493,5.861,440,1,49,1,4,16,0,116,5
10,Los Lagos,103,Osorno,10306,San Juan de la Costa,6.797,6.393,50,2,0,5,0,58,1,285,3
10,Los Lagos,103,Osorno,10307,San Pablo,5.133,4.744,342,2,1,2,2,9,1,27,3
10,Los Lagos,104,Palena,10401,Chaitén,2.562,2.433,39,0,0,3,0,4,1,77,5
10,Los Lagos,104,Palena,10402,Futaleufú,1.794,1.666,0,0,0,0,4,1,2,117,4
10,Los Lagos,104,Palena,10403,Hualaihué,5.218,5.053,76,1,1,0,1,11,0,71,4
10,Los Lagos,104,Palena,10404,Palena,1.309,1.006,3,0,3,1,0,9,0,286,1
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11101,Coyhaique,27.989,25.866,1.125,89,493,4,13,94,3,266,36
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11102,Lago Verde,724,561,3,0,0,0,0,3,0,154,3
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11201,Aysén,11.054,10.571,336,0,21,1,4,23,4,76,18
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11202,Cisnes,3.437,3.019,309,0,0,0,5,14,1,86,3
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11203,Guaitecas,816,798,5,0,0,0,0,4,1,5,3
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11301,Cochrane,2.126,1.961,3,0,7,0,2,2,3,141,7
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11302,O'Higgins,403,391,1,1,0,1,0,4,0,5,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11303,Tortel,395,360,1,1,0,0,0,9,2,19,3
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11401,Chile Chico,3.108,2.978,25,0,2,0,0,30,1,67,5
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11402,Río Ibáñez,2.242,2.129,36,0,9,0,1,29,3,27,8
12,Magallanes y de la Antártica Chilena,121,Magallanes,12101,Punta Arenas,59.195,52.098,1.848,556,4.248,2,72,86,16,200,69
12,Magallanes y de la Antártica Chilena,121,Magallanes,12102,Laguna Blanca,290,245,35,0,0,0,0,7,0,0,3
12,Magallanes y de la Antártica Chilena,121,Magallanes,12103,Río Verde,188,186,0,0,0,0,1,0,0,1,0
12,Magallanes y de la Antártica Chilena,121,Magallanes,12104,San Gregorio,444,433,3,0,0,0,0,0,0,5,3
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12201,Cabo de Hornos,780,765,1,0,0,0,0,1,1,7,5
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12202,Antártica,4,0,0,0,0,0,0,0,0,0,4
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12301,Porvenir,3.551,3.314,121,1,11,0,2,50,2,39,11
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12302,Primavera,414,406,3,0,0,0,0,0,0,5,0
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12303,Timaukel,214,95,105,0,0,0,0,5,3,5,1
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12401,Natales,11.223,10.783,311,2,7,1,9,11,6,75,18
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12402,Torres del Paine,304,207,1,0,0,0,0,1,0,94,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Fuente: Censo de Población y Vivienda 2024 - Instituto Nacional de Estadísticas.
Nota: La información utilizada fue procesada bajo los principios de protección y privacidad de los datos de la ley 17.374.",,,,,,,,,,,,,,,,